Job Title,Company Name,Location,Salary/Pay Range,Key Responsibilities,Required Skills/Qualifications,Date Posted,Job Type,Phone Number,Email,Full Job Description,Job URL
Software Engineer,Chef Q Pty Ltd,"Hoppers Crossing, Melbourne VIC","$80,000 – $100,000 per year",See Full Description,See Full Description,-,Full time,-,-,"· Research & Consulting: Research and analyze the software needs of our factory systems, identifying technology limitations and inefficiencies in existing processes, procedures, and methods.
· System Evaluation: Evaluate current systems and processes to recommend improvements and optimizations for production efficiency and overall system performance.
· Testing & Debugging: Test, debug, diagnose, and correct errors in software used for production, ensuring that programs meet established testing protocols and quality standards.
· Program Code Maintenance: Write, maintain, and update software code to meet the factory's system requirements and technical specifications while ensuring compliance with quality standards.
· Documentation: Create and maintain technical documentation, including program code documentation, end-user guides, and operational procedures, to ensure clarity and usability for factory staff.
· Consulting & Strategy Development: Provide guidance on software design proposals, including financial evaluations and recommendations for upgrading or purchasing software tools for our production systems.
· Proven experience in software engineering, preferably with a background in industrial or manufacturing systems.
· Strong knowledge of system analysis, design, and testing methodologies.
· Proficiency in programming languages (e.g., Java, C++, Python, etc.).
· Experience working with software that supports factory operations, manufacturing systems, or production environments is a plus.
· Ability to diagnose and resolve technical issues promptly and efficiently.
· Strong communication skills for creating clear documentation and providing support to factory staff.
A degree in Computer Science, Software Engineering, or a related field is preferred",https://www.seek.com.au/job/84718039
Graduate Software Engineer – Cloud & Software Innovation,Blackmagic Design,"South Melbourne, Melbourne VIC",-,See Full Description,See Full Description,-,Full time,-,-,"Start your engineering career at Blackmagic Design
Are you a technically strong and motivated graduate software engineer?
Are you excited to work on products used by professionals in film, television, and broadcasting around the world?
Join Blackmagic Design and help shape the future of media technology — from high-performance software to global cloud-based platforms.
About Blackmagic Design
Blackmagic Design creates some of the world’s most advanced solutions for video editing, post-production, and live broadcasting. Our hardware and software products are used globally — from Hollywood films to live events and online content creation.
As we continue to grow, we're expanding our cloud engineering capabilities to support remote collaboration, real-time workflows, and scalable media infrastructure.
The Opportunity
We’re looking for graduate software engineers to join our Melbourne-based engineering team. You’ll work closely with experienced engineers to build products that directly impact the film and broadcast industries.
You’ll be exposed to a range of teams across the business — from cloud platform engineering to systems development and quality assurance. This is a hands-on role designed to help you explore where your skills and interests can take you.
What We Offer
🌐 Cloud-Driven Projects
Be part of engineering teams building scalable media technologies using
Amazon Web Services (AWS)
. Projects may include remote editing platforms, distributed processing, and live video infrastructure.
📚 Structured Learning & Mentorship
You’ll rotate across engineering disciplines, gain exposure to different products and technologies, and work alongside mentors who’ll support your technical growth.
🔍 Real-World Product Impact
From day one, your work will contribute to real products used by professionals across the globe. Whether you’re working on cloud workflows, media processing, or system-level tooling — you’ll see the impact of your code.
🤝 Collaborative Culture
We value engineering excellence, curiosity, and teamwork. You’ll join a tight-knit community of developers, with opportunities to contribute ideas and explore new technologies in a supportive environment.
Who We’re Looking For
Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field
Solid programming skills in languages such as C++, Python, Java, or Go
Interest in cloud technologies, especially AWS
Strong problem-solving skills and a willingness to learn
Good communication skills and the ability to collaborate in a team
Bonus: Experience with Linux, Git, or relevant personal projects
How to Apply
If you're looking to kick-start your engineering career in a technically challenging and creative environment, we’d love to hear from you.
Apply now to join our 2025 graduate intake and help build the next generation of media technology.",https://www.seek.com.au/job/84420410
Software Engineer- Bubble Certified,Lightning Ventures,"Collingwood, Melbourne VIC",-,See Full Description,See Full Description,-,Full time,-,-,"About Us
Lightning Ventures is a fast-growing digital product studio helping mission-driven organizations build high-impact software — faster and smarter.
We work across climate, health, education, and non-profit sectors, turning complex challenges into powerful web and mobile platforms using modern tools like Bubble.io, Xano, FlutterFlow, and AI.
We don’t just build apps — we partner with teams solving real problems and help them ship products at lightning speed.
The Role
We’re hiring a
Software Engineer
who wants to build end-to-end products with speed, creativity, and care.
You’ll work closely with product leads, designers, and clients to bring ideas to life — using both traditional and no-code tools to deliver beautiful, scalable software in a fraction of the time.
Responsibilities
Develop full-stack web applications using modern tools and frameworks
Build backend logic, API integrations, and scalable data structures
Collaborate with cross-functional teams to deliver features fast
Conduct QA testing, debugging, and deploy high-quality software
Continuously optimize app performance, security, and UX
About You
Bachelor’s degree in Software Engineering, Computer Science, or related field
At least 2 years of experience in software or web application development
Strong understanding of software architecture, APIs, and databases
Bonus points for experience with Bubble.io, Xano, FlutterFlow, or Make
You care about building software that’s useful, elegant, and fast
You're collaborative, curious, and love getting products out into the world
Bubble.io Certified
Why Join Us?
Make a real impact working with climate, health, and purpose-led clients
Be part of a nimble team that values speed, ownership, and outcomes
Work in a flexible, hybrid environment with a high-trust culture
Get exposure to next-gen tools and real-world product innovation
Apply now to join a team redefining how modern software gets built.
Let’s move fast and build things that matter.",https://www.seek.com.au/job/84547685
Software Engineer II,Microsoft,Melbourne VIC,Subsidised health insurance + stock discounts,See Full Description,See Full Description,-,Full time,-,-,"Overview
The
Azure Core New Tech team
is seeking engineers who are eager to help with the New Technology onboarding process: automating how new hardware is verified, managed, and delivered to Microsoft datacenters for Azure, High-Performance Computing, Office, and Edge Computing products within Microsoft. The team works at the interface of software and hardware. The team creates technology to validate, onboard and manage the hardware throughout its lifespan (from arrival to disposal), track the hardware metadata, and ensure the quality and security of hardware when it reaches Microsoft datacenters. It supports the expansion of all capacity for Microsoft services and is at the leading edge of new hardware platforms coming to the cloud. The team is focused on automating the management and tracking the process of New Technology onboarding to bring new and innovative technologies to market faster.
In Azure Core New Tech team, your role as a
Software Engineer (SW2)
will be to understand requirements, create designs, and implement the features needed to enable new technologies. This opportunity will let you grow your skills in software and hardware by collaborating with various Azure teams, learning about the emerging technologies in the industry and bring change to Azure.
The team provides a flexible working environment that enables both hands-on opportunities with hardware and hybrid work contributions.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Sydney or Melbourne based
Qualifications
Required Qualifications:
Bachelor's Degree in Computer Science or related technical field AND min 2+ years  technical engineering experience working in a professional business setting with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
OR equivalent experience.
Preferred Qualifications:
Bachelor's Degree in Computer Science or related technical field AND 4+ years  technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
OR Master's Degree in Computer Science or related technical field AND 2+ years  technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python, OR equivalent experience.
Knowledge of operating systems, hardware integration, and low-level computing software technologies
Highly regarded  -Knowledge and exeperience with Operating System development, kernel module, kernel debugging, hardware driver development, new hardware qualification, network stack experience, routing table, IPv6, network packet analysis, Linux
Other Requirements:
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:
Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.
Responsibilities
Works with appropriate stakeholders to determine user requirements for a set of features.
Drives identification of dependencies and the development of design documents for a product, application, service, or platform.
Creates, implements, optimizes, debugs, refactors, and reuses code to establish and improve performance and maintainability, effectiveness, and return on investment (ROI).
Contributes to efforts to break down larger work items into smaller work items and provides estimation.
Acts as a Designated Responsible Individual (DRI) working on-call to monitor system/product feature/service for degradation, downtime, or interruptions and gains approval to restore system/product/service for simple problems.
Proactively seeks new knowledge and adapts to new trends, technical solutions, and patterns that will improve the availability, reliability, efficiency, observability, and performance of products while also driving consistency in monitoring and operations at scale.",https://www.seek.com.au/job/84737871
Software Engineer,Saab Australia Pty Ltd,"Hawthorn, Melbourne VIC","6 weeks paid leave, 13.5% super, Hybrid working",See Full Description,See Full Description,-,Full time,-,-,"The role
As part of our Naval Combat Systems group, the Software Engineer's main focus will be on the specification, design, development, documentation and testing of software components within a software team responsible for one or more CMS functions. The Senior Software Engineer shall be able to undertake these tasks without supervision.
Further, the successful candidate will:
Participate in the development and maintenance of software components and associated simulators.
Develop an understanding of the operational use of the associated system under development.
Participate in the specification of software components.
Design, implementation and testing of software components to meet the specified requirements.
Produce all artefacts required for deliverables and internal reviews.
Participate in reviews of software and documentation as required.
Provide technical guidance to junior software engineers.
Flexible work arrangements such as hybrid work from home / office, 9-day fortnight will be considered for this role.
About you
Your education, skills and experience will include:
Essential:
Tertiary qualifications in software engineering, computer science, or related technical discipline
Knowledge about contemporary software development standards, principles and best practices.
Writing software requirements for software components within software intensive systems.
Designing, developing and testing software components within software intensive systems.
Defect resolution of legacy software components within software intensive systems.
Working within a team environment.
At least one of the following languages, Java and/or Ada
Desirable:
A genuine interest and appreciation of large commercial and defence software intensive systems.
Developing in both procedural and Object Orientated paradigms.
Any of the following languages: C#, C++, Bash, Python and Go.
Any of the following tools/technologies, Dockers, Jenkins, DDS, Git, Clearcase and Automated Test Frameworks.
Linux experience
As Defence security clearance is required for this role, applicants will be required to hold an Australian Defence Security Clearance preferably to NV1 level or have the ability to gain one.
About us
Saab Australia is a defence, security and cyber solutions provider, specialising in the development and integration of major defence and security systems. For over 30 years in Australia, we have built a reputation for delivering complex systems integration projects that provide proven and advanced capabilities to keep us ahead of today's challenges.
From combat, communications, security and underwater systems, to mixed reality, cyber security and deployable health solutions, our extensive portfolio of products and services provide high-technology solutions for defence forces and civil industries across the globe.
Apply today to join our crew and deliver solutions with purpose!
Culture and benefits
We employ over 1000 Australians and are committed to fostering a culture of excellence and enriching the employee experience.
By joining Saab, you'll be a part of a collaborative and supportive organisation, where your professional growth and work-life balance are emphasised. You'll work within an innovative and vibrant workplace, while having the opportunity to develop a long-term, fulfilling career.
As a valued team member of Saab Australia, you'll access a variety of perks and benefits to support you and your family including:
6 weeks paid leave each year
13.5% Superannuation
Free Income Protection Insurance
Flexible working options
Access to the Saab shares matching scheme
Access to
MySaab -
our online store offering everything from cash back at hundreds of stores to discounts from exclusive partners
For further information about a career at Saab, visit the page adjacent: https://www.saab.com/markets/australia/careers/saab-life
Applications
Click 'Apply' to submit your CV and cover letter in support of your application. Kindly observe that this is an ongoing recruitment process and in exceptional circumstances, the position might be filled before the closing date of the advertisement. We encourage applications as early as possible to avoid disappointment.
By submitting an application to Saab, you consent to undertaking workforce screening activities including, but not limited to: reference checks, Australian Federal Police check, verification of working rights and qualifications, sanctions screening and a pre-employment medical declaration.
Saab Australia is an Equal Opportunity Employer and encourages Aboriginal and Torres Strait Islanders to apply. We also welcome applications from individuals with culturally diverse backgrounds.
Saab Australia is a nationally recognised Veteran Employer of Choice that welcomes the interest of ex-service members, veterans and their families.",https://www.seek.com.au/job/84634915
Software Developer,Murdoch Children's Research Institute,"Parkville, Melbourne VIC","$97,000 - $116,000 per annum plus super",See Full Description,See Full Description,-,Full time,-,"will.boland@vcgs.org, recruitment@mcri.edu.au","Job description:
Victoria Clinical Genetics Services (VCGS) are looking for a passionate and experienced
Software Developer
to join our Software Systems and Integration Unit. If you're excited by the opportunity to contribute to healthcare through innovative technology, this role is for you.
As a Software Developer, you'll play a vital role in developing, maintaining, and integrating software solutions that power our clinical and laboratory systems. Collaborating with a cross-functional team—including software architects, DevOps engineers, lab staff, and bioinformaticians—you will ensure the delivery of high-quality, robust, and scalable applications and data pipelines.
You will be a technical expert and an advocate for software development best practices, contributing to projects with both operational and strategic impact across VCGS and MCRI.
Your responsibilities include:
Design, develop, review, and maintain applications, APIs, data pipelines, and cloud services.
Promote and implement software development best practices.
Collaborate with technical and non-technical stakeholders to ensure fit-for-purpose solutions.
Participate in sprint planning, code reviews, and continuous integration/deployment workflows.
Provide clear, accessible system documentation and user support.
Keep current with emerging technologies to continually improve systems and practices.
What we need from you:
Degree in Computer Science, Software Engineering, IT, or related discipline.
Proficient in
TypeScript
or
Python
.
Experience with
RESTful/RPC APIs
,
SQL
, and
relational databases
.
Familiarity with
automated testing frameworks
(e.g., Playwright, Cypress).
Skilled in
Git
,
Linux/Bash
, and
cloud platforms (AWS)
.
Experience with
serverless microservices architecture
and
Infrastructure as Code
(e.g., Terraform, AWS CDK).
Excellent communication skills, both verbal and written.
For full viewing of responsibilities and requirements please refer to the
position description.
Any specific questions related to this position should be directed to Will Boland at
will.boland@vcgs.org,au
,
What's in it for you?
Benefit from salary packaging, including entertainment and novated leases
Be part of a dynamic and growing tech team supporting cutting-edge genetics and genomics services.
Contribute to impactful healthcare outcomes in a collaborative, multidisciplinary environment.
Flexible hybrid working arrangements with strong workplace culture.
Opportunities for professional growth and innovation.
Who we are
The Victorian Clinical Genetics Service (VCGS), a not-for-profit subsidiary of the Murdoch Children's Research Institute (MCRI), offers integrated genetic testing, diagnostics, and counselling globally. Our experts collaborate closely to ensure accurate interpretation of complex genetic tests. VCGS is actively involved in driving translational research, policy development, and fostering an inclusive and positive working environment that values diversity and prioritises equal opportunities for all. We are dedicated to developing our staff and creating a culture centred on respect and continuous learning.
We are committed to the safety of children and young people and takes a zero-tolerance approach to all forms of child abuse, exploitation and harm. Child safety is prioritised in our decision-making at all levels of the Institute.
Join Us!
If you believe this role is a good fit for you, please apply by submitting:
Your resume
A cover letter addressing the selection criteria
Ensure these documents are combined into a single PDF file.
We welcome individuals of diverse genders, ages, ethnicities, cultural backgrounds, abilities, religions, and sexual orientations in our workplace. We actively encourage talented individuals from all walks of life to apply for our job openings. Our commitment lies in fostering a workplace that is barrier-free and inclusive, aiming to attract the most skilled candidates.
For any questions related to the recruitment process, feel free to reach out to our Recruitment team at
recruitment@mcri.edu.au
. Ensure that you include the position number and job title in the subject line. Please refrain from sharing your application to this email address.
Please note, we reserve the right to close the vacancy prior to the closing date once a sufficient number of applications have been received.
No recruitment agencies please.
Position Description
Applications close: 4 July 2025
AUS Eastern Daylight time",https://www.seek.com.au/job/84746677
Mid-level Software Engineer,DBXB ANZ,"Southbank, Melbourne VIC",-,See Full Description,See Full Description,-,Full time,-,-,"Join our unique team that is responsible for developing and supporting a global data platform that processes millions of records per day from over 190 global markets. Due to our expanding global footprint and many exciting projects, there is an opportunity for a mid to senior level .NET Software Engineer to join our friendly, agile team.
What we offer
Exciting projects
with a leading global provider of business decisioning data and analytics.
Collaborative, inclusive culture
where you'll be encouraged to question the status quo and develop innovative solutions.
Opportunities for
professional development
and exposure to the latest technologies.
Flexible
hybrid
working arrangements.
A
central Melbourne CBD location
, with easy access to public transport and amenities.
What defines us
Data-Inspired
- We’re passionate about the power of data. It’s at the heart of everything we do.
Relentlessly Curious
- We embrace the change in the world around us. We know it brings new problems to solve, new things to learn and new ways to grow.
Inherently Generous
- We succeed by helping others succeed. We openly share our time and talent, and we confidently welcome the help of others.
Although you’ll enjoy the
security
of being part of a US multi-national employing over 4000 people globally, you will be joining a smaller “bubble” team that has the vibe and
excitement
of a start-up.  We have been given the autonomy and mandate to set our own goals and execute at a rapid pace.
Key duties of this role
Enhancing and maintaining
cutting edge
, business critical systems.
Solving problems iteratively and ensuring solutions
address customer needs
.
Applying efficient coding practices and architectural patterns to
build scalable, maintainable solutions
.
Actively participating in
Agile
ceremonies and processes.
Thriving in a
collaborative, empowered environment
where all voices are heard and valued.
Demonstrating a
customer-obsessed mindset
, contributing to the growth and excellence of the technology community.
Tech Stack You’ll Be Working With
Frontend: React, Blazor
Backend: .NET, Microservices, Docker
Databases: MongoDB, MS SQL Server
DevOps (CI/CD): TeamCity, Octopus Deploy, Harness.io, GitHub Enterprise
Cloud: GCP
About You
We’re looking for an experienced developer who brings:
A strong foundation in
.NET
(C# 6+) development.
Proficiency in modern front-end frameworks such as
React
or
Blazor
.
Experience with
Cloud
services (GCP preferred) and
microservices
architecture.
Experience with
CI/CD tools
like TeamCity, Octopus Deploy and Harness.io.
Familiarity with containerization using
Docker
.
A
focus on quality
and testing, including automated unit testing.
A collaborative and proactive mindset, with a
passion for technology
and continuous learning.
Excellent problem-solving skills and the
ability to thrive
in a fast-paced, Agile environment.
A tertiary qualification in Computer Science or a related discipline.
3+ years experience working in a commercial environment.",https://www.seek.com.au/job/84353612
Software Engineer,Wipro Limited,Melbourne VIC,"$85,000 – $104,687 per year",See Full Description,See Full Description,-,Full time,-,-,"Facilitation of quality checks and inspection-based testing with establishing test strategy and test plan around current business state and future business state application workflows.
Developing and testing software solution by understanding existing code and system using various tools like Microfocus ALM, JIRA, Confluence and PractiTest and interacting with business analysts.
Understanding of business requirements and producing a test plan for commencement of test execution.
Designing and developing test cases and test scenarios for identifying software and application bugs and developing defect triage techniques for prevention of potential defects.
Developing and maintaining technical documents for the end user as well as creating personas through research and data.
Participating in architectural and software development activities, workshop flows to understand the software requirements of the organization.
Conducting end to end functional testing, system integration testing, regression testing, database testing.
Conducting User Acceptance Testing for business approvals for deploying tested code to production.
Developing and delivering test plans, test summary reports, defect coverage reports, test status updates and technical supporting documents as a part of documentation for the Software testing lifecycle using MS tools.
No # openings : 5",https://www.seek.com.au/job/84494685
Software Engineer - Full Stack Developer,Crystal Delta,Melbourne VIC,-,See Full Description,See Full Description,-,Full time,-,-,"The Role
We are looking for a full stack developer with 3-4 years of commercial project experience with front and back end skills. DevOps and Automation of development workflow are key.
Responsibilities
Develop, Implement and Support software systems
Maintain and improve the performance of existing software
Clearly and regularly communicate with internal and client stakeholders
Test and maintain software products to ensure strong functionality and ease of use
Recommend improvements to existing software programs as necessary
Qualifications
3-4 years of experience in Designing and Developing Software projects
Minimum of Bachelor’s Degree in Computer Science or similar
Skills
Extensive Knowledge of web technologies, such as Node JS, TypeScript, VueJS, React, Redux, HTML, CSS and other JavaScript.
Extensive knowledge of a range of development tools and web frameworks
Extensive experience with databases such as MySQL, MongoDB
Extensive Object Oriented design, development, and analysis experience
Proponent of DevOps especially Continuous Integration (CI) and Continuous Delivery (CD)
Solid experience of Continuous Deployment primarily in AWS, plus Azure or GCP
Good knowledge of Agile Delivery methodology
Strong attention to detail and work in a local + remote team collaboration environment
Benefits
We aim to provide a rich and varied work style and keep options open for our employees. We work in teams, yet there is room for autonomy in the delivery of tasks.
Our organisation is product focused, and there are opportunities to develop products internally. Initiative, and personal development are encouraged and rewarded.
The Company
CRYSTAL DELTA is a software development and technology solutions company. We focus on products and productisation. We believe small companies can do great things, and we embrace the philosophy of Extreme Ownership.",https://www.seek.com.au/job/84394778
Principal Software Engineer,Upper Echelon Limited,Melbourne VIC,"$230,000 to $250,000 plus super, neg.",See Full Description,See Full Description,-,Full time,+6421454363,-,"Upper Echelon is seeking a truly special Principal software engineer to join a world class global company.
This role can be based in either Australia or New Zealand near or in a major city.
This is a high performing team that offers the right person career progression, complex challenges and the opportunity to grow and mentor other software engineers.
We are looking for someone from a large complex enterprise company in either Australia or New Zealand.
This is a permanent role with a negotiable salary of between $220,000 to $250,000 a year plus benefits.
The role
You will own and deliver on company wide multi year and multi team goals.
Influence, build relationships and manage differing viewpoints.
Partner with peers and Heads of Engineering to define product vision and technical strategy, sometimes well beyond product scope.
Mentor and develop other engineers into software engineering best practices.
The person
We are seeking a Principal Software engineer at the Apex of their career to drive this company forward by writing great software and applying world class software engineering principles.
The tech stack is not relevant, although the company uses .Net Framework, React, JavaScript and AWS.
We are looking for someone from a large enterprise environment preferably working in SAAS companies, who has a track record of delivering successful software.
We will also look for someone that can mentor other software engineers, and model a standard of excellence with their knowledge and imparting this knowledge to others.
This role is for a passionate technologist that prides themselves on delivering excellent code and helping others do the same.
What's in it for you
This role is working with a high performing team that receives a lot of investment from the wider business to deliver their solutions.
Great career path upwards to a Head of Engineering and GM of Engineering in the future.
5 weeks leave per annum.
This can be a hybrid role as the company has a very flexible work from home policy.
Please call Carl Thomas on
+6421454363
with any questions or apply using the link.",https://www.seek.com.au/job/84425339
.Net Mid Level Software Engineer,PRA,Melbourne VIC,$150KPackage + Lots of other benefits+ Career Prog,See Full Description,See Full Description,-,Full time,-,-,"We have partnered with a well known, popular and large eCommerce business who are currently looking for a Strong Mid Level Engineer in .Net. This job could get you a big step up in your career and get a name on your resume that everyone knows!
This is a very exciting opportunity for a
Mid Level Full Stack Software Engineer
with experience in
.Net and React or just a Backend .Net Developer
who would be excited by the prospect of joining a Corporate Business with a world of internal opportunities running large scale Software Engineering squads!
For this role, we are open to a Full Stack Engineer (.Net/React) or a Backend focused Engineer with .Net.
Ideally we are looking for:
5+years experience as an established
Mid Level Software Engineer
Strong experience in C# .Net
Experience with microservices/Serverless architectures
Ability to express intent through code, focusing on simplicity and maintainability
Good exposure to Agile working environments
Experience working in large scale projects and heavy-traffic platforms (advantage)
Experience in a cloud environment (strong preference for Azure)
Great communicator, attitude of being willing to learn and make mistakes.
When it comes to hiring, attitude and willingness to learn and make mistakes are high on the list.  We are inviting Engineers to apply who are passionate about coding, want to work for a larger Enterprise business, and looking for an opportunity to get promoted or move in to other areas within the business.
Few important bits, before you apply ...
This is a permanent role, and the salary is
$150KPackage (Flex)
Please note for this role we are looking for Engineers who enjoy a collaborative environment and who are happy to be in the
office 3 days per week.
Location: Melbourne
We are only considering applicants with
Full Working Rights
for this role.
Please apply via SEEK to be considered for this Career Changing opportunity.",https://www.seek.com.au/job/84722690
